"drive_id","drive_start","drive_end"
"2017_06_LA_JAX_20","Fumble","Field Goal"
"2020_16_TEN_GB_13","Punt","Touchdown"
"2017_08_CAR_TB_6","Punt","Punt"
"2019_16_JAX_ATL_3","Kickoff","Touchdown"
"2017_02_CLE_BAL_4","Fumble","Touchdown"
"2017_17_WAS_NYG_8","Kickoff","Punt"
"2019_11_NE_PHI_1","Kickoff","Field Goal"
"2019_08_NYJ_JAX_4","Punt","Turnover"
"2018_11_CIN_BAL_1","Kickoff","Punt"
"2020_11_LA_TB_14","Kickoff","Punt"
"2018_09_NYJ_MIA_6","Punt","Turnover"
"2021_13_PHI_NYJ_2","Kickoff","Touchdown"
"2019_05_JAX_CAR_24","Kickoff","Turnover"
"2019_09_IND_PIT_9","Kickoff","Turnover"
"2017_02_DAL_DEN_1","Kickoff","Punt"
"2016_05_SD_OAK_1","Kickoff","Turnover"
"2016_15_PHI_BAL_11","Kickoff","Field Goal"
"2016_12_ARI_ATL_10","Punt","Turnover"
"2020_16_PHI_DAL_7","Kickoff","Punt"
"2017_15_MIA_BUF_16","Punt","Punt"
"2018_08_SF_ARI_18","Kickoff","Touchdown"
"2017_14_CHI_CIN_21","Fumble","Turnover"
"2019_17_PHI_NYG_11","Kickoff","Touchdown"
"2019_01_BUF_NYJ_9","Fumble","Punt"
"2021_16_MIA_NO_7","Punt","Punt"
"2016_02_ATL_OAK_1","Kickoff","Punt"
"2018_12_OAK_BAL_1","Kickoff","Touchdown"
"2017_14_OAK_KC_11","Kickoff","Field Goal"
"2020_15_HOU_IND_5","Kickoff","Punt"
"2017_08_IND_CIN_4","Punt","Field Goal"
"2016_08_WAS_CIN_16","Kickoff","Touchdown"
"2020_03_KC_BAL_1","Kickoff","Field Goal"
"2020_08_NO_CHI_16","Punt","Turnover"
"2021_08_DAL_MIN_21","Punt","Field Goal"
"2016_07_NE_PIT_4","Interception","Touchdown"
"2021_11_NYG_TB_4","Kickoff","Punt"
"2019_06_CIN_BAL_7","Kickoff","Punt"
"2021_02_ATL_TB_18","Kickoff","Punt"
"2021_15_HOU_JAX_10","Kickoff","Punt"
"2020_16_CAR_WAS_15","Kickoff","Turnover"
"2016_04_BUF_NE_4","Punt","Field Goal"
"2019_12_PIT_CIN_20","Punt","Punt"
"2017_11_BAL_GB_14","Punt","Punt"
"2018_11_TEN_IND_18","Punt","Punt"
"2019_15_BUF_PIT_20","Kickoff","Punt"
"2019_14_CAR_ATL_22","Kickoff","Field Goal"
"2018_09_OAK_SF_3","Kickoff","Punt"
"2019_15_MIA_NYG_17","Kickoff","Touchdown"
"2021_17_LV_IND_10","Kickoff","Touchdown"
"2020_09_HOU_JAX_10","Kickoff","Turnover"
"2017_02_NE_NO_1","Kickoff","Touchdown"
"2020_16_DEN_LAC_15","Kickoff","Punt"
"2021_18_PIT_BAL_10","Punt","Punt"
"2020_10_TB_CAR_16","Fumble","Field Goal"
"2016_05_NE_CLE_15","Kickoff","Turnover"
"2020_06_ATL_MIN_15","Kickoff","Touchdown"
"2021_09_DEN_DAL_16","Punt","Touchdown"
"2019_12_GB_SF_10","Fumble","Punt"
"2021_06_LV_DEN_11","Punt","Touchdown"
"2017_04_WAS_KC_12","Kickoff","Touchdown"
"2020_06_GB_TB_2","Kickoff","Punt"
"2016_12_NYG_CLE_25","Kickoff","Turnover"
"2018_06_ARI_MIN_23","Fumble","Punt"
"2017_05_TEN_MIA_3","Punt","Punt"
"2018_12_SEA_CAR_7","Punt","Punt"
"2020_09_HOU_JAX_16","Interception","Touchdown"
"2020_01_IND_JAX_15","Kickoff","Touchdown"
"2018_13_NO_DAL_6","Kickoff","Punt"
"2017_06_PHI_CAR_13","Kickoff","Turnover"
"2018_02_IND_WAS_16","Interception","Field Goal"
"2018_13_SF_SEA_12","Kickoff","Field Goal"
"2020_01_SEA_ATL_7","Punt","Punt"
"2018_13_KC_OAK_13","Kickoff","Field Goal"
"2016_16_TB_NO_3","Punt","Touchdown"
"2020_04_BAL_WAS_17","Punt","Turnover"
"2021_01_ARI_TEN_8","Punt","Touchdown"
"2021_06_CIN_DET_12","Punt","Field Goal"
"2016_02_MIA_NE_19","Punt","Touchdown"
"2021_09_CLE_CIN_10","Kickoff","Punt"
"2021_09_DEN_DAL_17","Kickoff","Turnover"
"2019_03_MIA_DAL_19","Punt","Field Goal"
"2019_04_NE_BUF_13","Punt","Field Goal"
"2020_04_ARI_CAR_13","Fumble","Touchdown"
"2020_02_SF_NYJ_3","Punt","Punt"
"2017_13_MIN_ATL_4","Punt","Punt"
"2019_03_MIA_DAL_17","Punt","Punt"
"2017_05_NE_TB_1","Kickoff","Turnover"
