"drive_id","drive_start","drive_end"
"2019_17_ATL_TB_8","Fumble","Touchdown"
"2016_01_CAR_DEN_2","Fumble","Touchdown"
"2021_15_ATL_SF_12","Fumble","Touchdown"
"2016_15_LA_SEA_4","Fumble","Touchdown"
"2016_16_DEN_KC_25","Fumble","Touchdown"
"2020_08_TB_NYG_4","Fumble","Touchdown"
"2021_15_DAL_NYG_13","Fumble","Touchdown"
"2018_06_KC_NE_16","Fumble","Touchdown"
"2018_05_DAL_HOU_11","Fumble","Touchdown"
"2017_09_OAK_MIA_6","Fumble","Touchdown"
"2019_08_PHI_BUF_10","Fumble","Touchdown"
"2019_17_IND_JAX_18","Fumble","Touchdown"
"2020_08_MIN_GB_8","Fumble","Touchdown"
"2016_15_NO_ARI_20","Fumble","Touchdown"
"2018_13_LA_DET_21","Fumble","Touchdown"
"2016_03_LA_TB_9","Fumble","Touchdown"
"2021_04_PIT_GB_19","Fumble","Touchdown"
"2020_04_NE_KC_14","Fumble","Touchdown"
"2021_05_BUF_KC_10","Fumble","Touchdown"
"2021_02_BUF_MIA_21","Fumble","Touchdown"
"2020_12_CLE_JAX_11","Fumble","Touchdown"
"2020_10_SF_NO_10","Fumble","Touchdown"
"2021_14_BUF_TB_16","Fumble","Touchdown"
"2020_03_LA_BUF_17","Fumble","Touchdown"
"2021_15_LV_CLE_13","Fumble","Touchdown"
"2019_04_PHI_GB_9","Fumble","Touchdown"
"2021_04_WAS_ATL_5","Fumble","Touchdown"
"2018_04_NYJ_JAX_21","Fumble","Touchdown"
"2019_04_OAK_IND_6","Fumble","Touchdown"
"2019_02_DAL_WAS_16","Fumble","Touchdown"
"2021_01_CHI_LA_15","Fumble","Touchdown"
"2017_02_DAL_DEN_7","Fumble","Touchdown"
"2020_13_CLE_TEN_3","Fumble","Touchdown"
"2020_01_SEA_ATL_4","Fumble","Touchdown"
"2020_04_CLE_DAL_10","Fumble","Touchdown"
"2021_11_NO_PHI_9","Fumble","Touchdown"
"2020_05_MIA_SF_4","Fumble","Touchdown"
"2016_01_NE_ARI_15","Fumble","Touchdown"
"2020_04_PHI_SF_18","Fumble","Touchdown"
"2017_06_LAC_OAK_16","Fumble","Touchdown"
"2021_13_MIN_DET_23","Fumble","Touchdown"
"2016_04_NO_SD_23","Fumble","Touchdown"
"2021_14_NO_NYJ_22","Fumble","Touchdown"
"2018_06_LAC_CLE_12","Fumble","Touchdown"
"2019_10_BAL_CIN_10","Fumble","Touchdown"
"2020_14_PIT_BUF_11","Fumble","Touchdown"
"2021_07_IND_SF_14","Fumble","Touchdown"
"2019_13_SF_BAL_4","Fumble","Touchdown"
"2020_03_LA_BUF_10","Fumble","Touchdown"
"2021_09_NYJ_IND_6","Fumble","Touchdown"
"2019_08_LAC_CHI_18","Fumble","Touchdown"
"2021_02_DET_GB_13","Fumble","Touchdown"
"2018_17_MIA_BUF_22","Fumble","Touchdown"
"2020_15_PHI_ARI_12","Fumble","Touchdown"
"2019_02_SEA_PIT_7","Fumble","Touchdown"
"2021_09_DEN_DAL_4","Fumble","Touchdown"
"2021_13_JAX_LA_3","Fumble","Touchdown"
"2019_03_HOU_LAC_15","Fumble","Touchdown"
"2020_12_NO_DEN_12","Fumble","Touchdown"
"2020_06_CLE_PIT_20","Fumble","Touchdown"
